[16:18:26] [main.cpp:80] [INFO]:  Beginning initialization of 'Assignment 3: They said WHAT?!'
[16:18:27] [main.cpp:86] [INFO]:  Window successfully created!
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.417758
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.554031
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.433160
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.695109
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.408377
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.792069
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.898725
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.336514
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.539153
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.151744
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 3.051598
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.337843
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 1.802014
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.556144
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.535115
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.417679
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.567292
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.608986
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 3.471470
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 1.441769
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.154676
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.554724
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.757895
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.500043
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.315644
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.477190
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.589338
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.613501
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.338584
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.425532
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.448181
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.593681
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.422754
[16:18:29] [render.h:188] [TRACE]: Particles Spawning: 2.583433
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.525719
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.489885
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.513652
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.421602
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.646333
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.515629
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.600796
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.985837
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 1.973801
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.544089
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.565312
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 3.468774
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 3.860579
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 1.927961
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 1.188038
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.535227
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.304334
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.231916
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.443491
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.483518
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.474227
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.635194
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.406431
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.605381
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.439901
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 3.092275
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 1.931709
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 3.042309
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.692082
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.025042
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.286728
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.380094
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.517357
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.537864
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.454649
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.541123
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.536348
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.913559
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.587921
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.063958
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 3.065167
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.173084
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.201554
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.518638
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.398852
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.649891
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.349020
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.563164
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.774003
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.920531
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.389678
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.494557
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.287539
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.972047
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.404264
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.722346
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 1.977961
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.562594
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 2.717662
[16:18:30] [render.h:188] [TRACE]: Particles Spawning: 1.965515
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.370170
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.574897
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.518360
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.260869
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.431558
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.525524
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.436514
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.699712
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.210376
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.742775
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.365142
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.545608
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.506681
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.397509
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.459564
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.805901
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.200857
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.484307
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.691464
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.324385
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.636818
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.432376
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.494252
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.418055
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.550810
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.508479
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.439645
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 3.035306
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.590468
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.105701
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.348510
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.585300
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.578002
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.348056
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.489634
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.564204
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.484619
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.456021
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.458944
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.588494
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.793169
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.176679
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.428878
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.581122
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.544856
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.503838
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.549929
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.412152
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.543001
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.583719
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.731649
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.469306
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.152095
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.537110
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.486199
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.486093
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.560353
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 3.466045
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.090616
[16:18:31] [render.h:188] [TRACE]: Particles Spawning: 2.319779
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.270826
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.428634
[16:18:32] [render.h:188] [TRACE]: Particles Spawning: 2.423640
